epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.238,5.51391,5.52042,4.18052,0.00016,0.00199,8e-05,2e-05,5.67951,14.2331,6.13442,0.0701111,0.00332099,0.00332099
2,296.119,3.64165,3.37117,2.00884,0.05255,0.08651,0.04304,0.01598,2.93157,2.69262,1.3524,0.0400946,0.00663785,0.00663785
3,440.025,2.76452,2.58912,1.33717,0.0561,0.13047,0.06276,0.02737,2.50314,2.32222,1.23398,0.0100617,0.00993822,0.00993822
4,583.11,2.43048,2.25848,1.22056,0.20346,0.11766,0.0769,0.03563,2.22347,1.96437,1.14607,0.00992575,0.00992575,0.00992575
5,726.187,2.23421,2.03427,1.15421,0.23363,0.13003,0.09366,0.04554,2.08877,1.79864,1.09419,0.009901,0.009901,0.009901
6,868.724,2.12194,1.9062,1.11809,0.25992,0.13752,0.1009,0.05069,1.99073,1.71083,1.07944,0.00987625,0.00987625,0.00987625
7,1011.28,2.04572,1.81363,1.09638,0.2713,0.12293,0.10151,0.0508,2.0179,1.74449,1.06539,0.0098515,0.0098515,0.0098515
8,1153.67,1.99288,1.74873,1.07647,0.27326,0.15747,0.12509,0.06448,1.86616,1.57865,1.04233,0.00982675,0.00982675,0.00982675
9,1296.78,1.94856,1.68304,1.06153,0.2136,0.17131,0.12946,0.06879,1.85662,1.57123,1.02697,0.009802,0.009802,0.009802
10,1439.37,1.90047,1.62923,1.05107,0.23914,0.17833,0.14053,0.07332,1.79983,1.53708,1.01774,0.00977725,0.00977725,0.00977725
11,1581.75,1.87995,1.61818,1.04576,0.21481,0.18827,0.14626,0.0771,1.78643,1.47049,1.01285,0.0097525,0.0097525,0.0097525
12,1724.08,1.85212,1.5788,1.03714,0.21854,0.18537,0.14845,0.07841,1.76612,1.44647,1.00858,0.00972775,0.00972775,0.00972775
13,1866.54,1.83527,1.55248,1.03174,0.20877,0.19459,0.1489,0.07986,1.7419,1.42205,0.99876,0.009703,0.009703,0.009703
14,2008.24,1.81432,1.52569,1.02732,0.24634,0.20345,0.16174,0.08724,1.70454,1.41763,0.99291,0.00967825,0.00967825,0.00967825
15,2150.74,1.80434,1.50254,1.01846,0.24244,0.19871,0.16106,0.08837,1.70164,1.40384,0.99005,0.0096535,0.0096535,0.0096535
16,2293.29,1.77928,1.48411,1.01627,0.26278,0.19963,0.1712,0.09291,1.69322,1.38755,0.9842,0.00962875,0.00962875,0.00962875
17,2435.9,1.76997,1.47265,1.01114,0.34495,0.19493,0.16555,0.08994,1.67916,1.37995,0.98773,0.009604,0.009604,0.009604
18,2578.48,1.76027,1.45806,1.00918,0.27141,0.21143,0.18032,0.09784,1.67141,1.35196,0.98161,0.00957925,0.00957925,0.00957925
19,2721.38,1.73733,1.42976,1.00176,0.26452,0.2061,0.17812,0.09773,1.675,1.36713,0.97895,0.0095545,0.0095545,0.0095545
20,2863.25,1.72425,1.41417,1.00105,0.27352,0.2172,0.18657,0.10233,1.64723,1.33639,0.97751,0.00952975,0.00952975,0.00952975
21,3005.72,1.71768,1.40217,0.99851,0.26947,0.21274,0.18802,0.10253,1.6375,1.32869,0.97246,0.009505,0.009505,0.009505
22,3148.28,1.718,1.40292,0.9989,0.37888,0.21206,0.19033,0.10349,1.63385,1.3156,0.97481,0.00948025,0.00948025,0.00948025
23,3290.8,1.70567,1.38919,0.99311,0.2846,0.22421,0.19489,0.10528,1.62602,1.31055,0.97052,0.0094555,0.0094555,0.0094555
24,3432.92,1.69455,1.37476,0.99208,0.27384,0.22037,0.19399,0.10748,1.62619,1.3081,0.96748,0.00943075,0.00943075,0.00943075
25,3575.38,1.68325,1.36446,0.99009,0.29529,0.22812,0.20385,0.11341,1.59196,1.28877,0.96162,0.009406,0.009406,0.009406
26,3717.55,1.67799,1.35745,0.98715,0.28825,0.22546,0.20055,0.11127,1.60628,1.2965,0.96107,0.00938125,0.00938125,0.00938125
27,3859.49,1.67489,1.35246,0.98571,0.29537,0.23122,0.20957,0.11559,1.60089,1.29591,0.96202,0.0093565,0.0093565,0.0093565
28,4002.41,1.6547,1.32453,0.98256,0.29272,0.21852,0.2043,0.11293,1.60109,1.29242,0.9662,0.00933175,0.00933175,0.00933175
29,4144.04,1.64672,1.3234,0.98068,0.30915,0.22287,0.20688,0.11475,1.58208,1.28343,0.96114,0.009307,0.009307,0.009307
30,4286.36,1.64667,1.32175,0.97927,0.30864,0.22931,0.21074,0.11606,1.57447,1.27582,0.95473,0.00928225,0.00928225,0.00928225
31,4427.92,1.6392,1.31253,0.9756,0.32332,0.23382,0.21447,0.11721,1.57765,1.26248,0.96028,0.0092575,0.0092575,0.0092575
32,4569.97,1.62919,1.30514,0.97669,0.3023,0.23108,0.21535,0.11874,1.57193,1.26049,0.95618,0.00923275,0.00923275,0.00923275
33,4712.12,1.63034,1.29858,0.97582,0.30523,0.22972,0.21304,0.11891,1.56447,1.26753,0.95472,0.009208,0.009208,0.009208
34,4854.4,1.63073,1.29341,0.97407,0.31418,0.22346,0.21429,0.12077,1.56685,1.2651,0.95206,0.00918325,0.00918325,0.00918325
35,4996.69,1.61301,1.27847,0.97124,0.31241,0.23591,0.21921,0.12212,1.55775,1.25679,0.95096,0.0091585,0.0091585,0.0091585
36,5139.15,1.61553,1.28351,0.97135,0.31109,0.23149,0.22247,0.12403,1.5586,1.25674,0.95346,0.00913375,0.00913375,0.00913375
37,5281.11,1.60787,1.27305,0.97067,0.33027,0.2406,0.22823,0.1273,1.54126,1.23683,0.95068,0.009109,0.009109,0.009109
38,5423.31,1.60061,1.26417,0.96938,0.31779,0.24127,0.22278,0.12427,1.54389,1.2456,0.94665,0.00908425,0.00908425,0.00908425
39,5565.18,1.61802,1.27768,0.96937,0.31715,0.2386,0.22504,0.12547,1.54502,1.2471,0.94899,0.0090595,0.0090595,0.0090595
40,5707.29,1.58824,1.25175,0.96774,0.32532,0.23599,0.22422,0.12619,1.53348,1.23197,0.94541,0.00903475,0.00903475,0.00903475
41,5848.74,1.59357,1.25152,0.96451,0.32888,0.2448,0.2334,0.12981,1.52742,1.22745,0.9452,0.00901,0.00901,0.00901
42,5990.96,1.58982,1.24734,0.96171,0.33229,0.24138,0.22904,0.12811,1.53331,1.2321,0.94364,0.00898525,0.00898525,0.00898525
43,6132.68,1.58889,1.25105,0.96416,0.32413,0.24434,0.23099,0.12798,1.53229,1.23967,0.94499,0.0089605,0.0089605,0.0089605
44,6274.77,1.57614,1.23668,0.9614,0.32939,0.24386,0.22854,0.12842,1.52384,1.22535,0.94342,0.00893575,0.00893575,0.00893575
45,6416.92,1.57539,1.23516,0.96083,0.33143,0.24358,0.23008,0.12942,1.52226,1.23325,0.94253,0.008911,0.008911,0.008911
46,6558.84,1.57306,1.22829,0.96102,0.31578,0.24445,0.23451,0.13064,1.50981,1.21149,0.93972,0.00888625,0.00888625,0.00888625
47,6701.48,1.56532,1.22258,0.95787,0.32484,0.24895,0.23597,0.13167,1.51024,1.21705,0.93944,0.0088615,0.0088615,0.0088615
48,6843.52,1.56805,1.21923,0.9598,0.32579,0.24233,0.23473,0.12984,1.51569,1.21406,0.93941,0.00883675,0.00883675,0.00883675
49,6985.56,1.56261,1.22004,0.95757,0.33372,0.24235,0.23633,0.13182,1.50987,1.21855,0.93868,0.008812,0.008812,0.008812
50,7128.32,1.56416,1.21484,0.95743,0.33833,0.24681,0.2395,0.13437,1.50734,1.21846,0.93644,0.00878725,0.00878725,0.00878725
51,7271.19,1.56808,1.21941,0.958,0.33139,0.24921,0.2381,0.13463,1.50267,1.20687,0.93689,0.0087625,0.0087625,0.0087625
52,7413.61,1.55137,1.20142,0.95543,0.34108,0.25079,0.24195,0.1351,1.50295,1.21201,0.93636,0.00873775,0.00873775,0.00873775
53,7556.38,1.55913,1.21076,0.95518,0.35315,0.24915,0.2437,0.13608,1.50103,1.21663,0.93758,0.008713,0.008713,0.008713
54,7698.86,1.55391,1.19985,0.9538,0.35212,0.25378,0.244,0.13836,1.49108,1.19639,0.93473,0.00868825,0.00868825,0.00868825
55,7840.94,1.5489,1.19665,0.95351,0.34952,0.25397,0.24545,0.13842,1.48956,1.201,0.93237,0.0086635,0.0086635,0.0086635
56,7983.36,1.54936,1.19638,0.95495,0.33382,0.25487,0.24294,0.13642,1.49229,1.20185,0.93469,0.00863875,0.00863875,0.00863875
57,8125.06,1.54629,1.19652,0.95341,0.34783,0.25592,0.24483,0.13741,1.48638,1.20501,0.9323,0.008614,0.008614,0.008614
58,8267.06,1.54659,1.19328,0.95091,0.35376,0.25812,0.24914,0.14022,1.48484,1.18852,0.93108,0.00858925,0.00858925,0.00858925
59,8409.34,1.54515,1.19667,0.95216,0.34515,0.26012,0.2464,0.13923,1.48366,1.19536,0.93099,0.0085645,0.0085645,0.0085645
60,8551.78,1.54015,1.18537,0.95135,0.3483,0.2553,0.24788,0.13956,1.48555,1.19638,0.93236,0.00853975,0.00853975,0.00853975
61,8694.35,1.53688,1.18649,0.95094,0.35229,0.25411,0.24728,0.14179,1.47719,1.18963,0.93103,0.008515,0.008515,0.008515
62,8836.41,1.52749,1.17704,0.94951,0.34956,0.25525,0.24703,0.1407,1.47552,1.19245,0.92982,0.00849025,0.00849025,0.00849025
63,8978.9,1.52933,1.17723,0.94872,0.34927,0.25841,0.24593,0.14051,1.47982,1.18261,0.92986,0.0084655,0.0084655,0.0084655
64,9120.79,1.53239,1.17968,0.94961,0.34681,0.25829,0.24889,0.14057,1.4778,1.18817,0.93,0.00844075,0.00844075,0.00844075
65,9262.94,1.52114,1.16743,0.9481,0.36252,0.25664,0.25326,0.14447,1.47604,1.18475,0.93003,0.008416,0.008416,0.008416
66,9405.87,1.51689,1.15833,0.94754,0.35026,0.25742,0.24975,0.14195,1.47432,1.19213,0.93051,0.00839125,0.00839125,0.00839125
67,9548.79,1.52155,1.16479,0.94709,0.35772,0.26144,0.25167,0.1439,1.46867,1.18515,0.92857,0.0083665,0.0083665,0.0083665
68,9691.88,1.51416,1.15622,0.94451,0.36417,0.26439,0.25493,0.14428,1.46872,1.18105,0.92794,0.00834175,0.00834175,0.00834175
69,9834.73,1.51414,1.15801,0.94389,0.35532,0.26537,0.25612,0.14608,1.465,1.17381,0.92742,0.008317,0.008317,0.008317
70,9978.32,1.51559,1.15893,0.94533,0.35883,0.26219,0.25093,0.14296,1.46408,1.18298,0.92727,0.00829225,0.00829225,0.00829225
71,10121,1.51004,1.15024,0.9454,0.36468,0.26298,0.2548,0.14471,1.46413,1.17232,0.92678,0.0082675,0.0082675,0.0082675
72,10264.5,1.5102,1.14933,0.94348,0.36257,0.26326,0.25526,0.14564,1.46332,1.17784,0.9262,0.00824275,0.00824275,0.00824275
73,10407.6,1.50943,1.14838,0.94383,0.36276,0.26227,0.25496,0.14597,1.46014,1.17901,0.92522,0.008218,0.008218,0.008218
74,10550,1.50704,1.14875,0.94313,0.36712,0.26495,0.25688,0.147,1.45988,1.17177,0.92598,0.00819325,0.00819325,0.00819325
75,10693.3,1.50564,1.14634,0.94389,0.36148,0.2622,0.25562,0.14721,1.45869,1.1831,0.92547,0.0081685,0.0081685,0.0081685
76,10836.7,1.50525,1.14033,0.94369,0.36425,0.26348,0.25726,0.14779,1.45795,1.16874,0.92573,0.00814375,0.00814375,0.00814375
77,10979.5,1.50507,1.14108,0.94384,0.37329,0.26399,0.25908,0.14819,1.45999,1.17291,0.92638,0.008119,0.008119,0.008119
78,11122,1.49874,1.13994,0.94213,0.37046,0.26559,0.25853,0.14925,1.45334,1.16494,0.92417,0.00809425,0.00809425,0.00809425
79,11264.9,1.50061,1.14212,0.94243,0.38244,0.26707,0.26315,0.15093,1.44808,1.15419,0.92385,0.0080695,0.0080695,0.0080695
80,11407.9,1.5083,1.14154,0.9422,0.38048,0.27079,0.2632,0.15199,1.4516,1.16101,0.92449,0.00804475,0.00804475,0.00804475
81,11550.9,1.49481,1.13027,0.94133,0.37371,0.26801,0.26323,0.15226,1.45087,1.15347,0.92478,0.00802,0.00802,0.00802
82,11694.3,1.49951,1.13051,0.9405,0.36591,0.27021,0.26135,0.1513,1.44875,1.16382,0.92387,0.00799525,0.00799525,0.00799525
83,11838.2,1.49032,1.12614,0.93935,0.37127,0.27263,0.2645,0.15266,1.4475,1.16259,0.92384,0.0079705,0.0079705,0.0079705
84,11981.8,1.49845,1.12928,0.94003,0.37232,0.26925,0.26521,0.15307,1.44686,1.15921,0.92292,0.00794575,0.00794575,0.00794575
85,12125.7,1.48495,1.12355,0.93632,0.37294,0.27188,0.26482,0.15296,1.443,1.15078,0.92277,0.007921,0.007921,0.007921
86,12269.8,1.49323,1.12755,0.93897,0.37829,0.2708,0.26612,0.15496,1.44321,1.14879,0.92253,0.00789625,0.00789625,0.00789625
87,12414.2,1.48699,1.1233,0.9397,0.37801,0.27217,0.26608,0.15354,1.44096,1.15164,0.92186,0.0078715,0.0078715,0.0078715
88,12557.7,1.49015,1.12203,0.9403,0.37536,0.27116,0.26592,0.15448,1.44352,1.15194,0.92334,0.00784675,0.00784675,0.00784675
89,12701.5,1.48968,1.12602,0.93866,0.37967,0.27533,0.2685,0.15503,1.43999,1.14966,0.92243,0.007822,0.007822,0.007822
90,12845.4,1.47856,1.11426,0.93858,0.38257,0.27724,0.27094,0.15661,1.43519,1.1429,0.921,0.00779725,0.00779725,0.00779725
91,12989.5,1.48408,1.11673,0.93832,0.38554,0.27533,0.26962,0.1561,1.43673,1.14157,0.92106,0.0077725,0.0077725,0.0077725
92,13132.9,1.48127,1.11492,0.93658,0.3846,0.27682,0.27043,0.1568,1.43593,1.14067,0.92086,0.00774775,0.00774775,0.00774775
93,13276.7,1.47582,1.11351,0.93668,0.3922,0.27786,0.27342,0.1581,1.43297,1.13827,0.92033,0.007723,0.007723,0.007723
94,13421.3,1.4826,1.11305,0.93718,0.39217,0.27982,0.27116,0.15613,1.43385,1.14312,0.92088,0.00769825,0.00769825,0.00769825
95,13564.9,1.46892,1.10224,0.93367,0.38724,0.27707,0.27039,0.15603,1.43364,1.14545,0.92067,0.0076735,0.0076735,0.0076735
96,13708.4,1.47393,1.10791,0.93657,0.38508,0.27627,0.27116,0.15659,1.43195,1.14207,0.91971,0.00764875,0.00764875,0.00764875
97,13852.3,1.47318,1.10046,0.93696,0.38888,0.27834,0.27336,0.15779,1.429,1.13608,0.91957,0.007624,0.007624,0.007624
98,13996.1,1.47015,1.09742,0.93289,0.38516,0.27739,0.27275,0.15845,1.42908,1.13832,0.91932,0.00759925,0.00759925,0.00759925
99,14140.4,1.47084,1.10182,0.93458,0.39042,0.27874,0.27332,0.1588,1.42748,1.14,0.9189,0.0075745,0.0075745,0.0075745
100,14284.3,1.47323,1.09967,0.93292,0.38953,0.27928,0.27312,0.15856,1.42757,1.14108,0.91912,0.00754975,0.00754975,0.00754975
101,14427.7,1.46517,1.09221,0.93308,0.38715,0.27773,0.27302,0.15895,1.42491,1.13919,0.91836,0.007525,0.007525,0.007525
102,14571.5,1.46517,1.09157,0.93245,0.38766,0.27836,0.27325,0.15877,1.42398,1.13753,0.91834,0.00750025,0.00750025,0.00750025
103,14715,1.46478,1.09302,0.93175,0.38093,0.28139,0.27355,0.15841,1.42222,1.13042,0.91815,0.0074755,0.0074755,0.0074755
104,14857.9,1.46517,1.09354,0.93416,0.38417,0.28206,0.27335,0.15893,1.42305,1.13425,0.91838,0.00745075,0.00745075,0.00745075
105,15001.9,1.4646,1.09301,0.93349,0.38649,0.27998,0.27295,0.15865,1.42151,1.13479,0.91856,0.007426,0.007426,0.007426
106,15145.1,1.4645,1.09165,0.93166,0.38697,0.28343,0.27403,0.15966,1.41953,1.1328,0.91832,0.00740125,0.00740125,0.00740125
107,15289.2,1.4639,1.08727,0.93262,0.38661,0.28139,0.27603,0.1604,1.42141,1.13269,0.91844,0.0073765,0.0073765,0.0073765
108,15432.7,1.45573,1.09003,0.93227,0.39266,0.2828,0.27619,0.16092,1.41846,1.1293,0.91788,0.00735175,0.00735175,0.00735175
109,15576.9,1.45896,1.08105,0.93241,0.38751,0.28481,0.27635,0.16091,1.41867,1.12681,0.91804,0.007327,0.007327,0.007327
110,15720.4,1.45395,1.07772,0.92967,0.38587,0.28552,0.27742,0.16178,1.41594,1.12376,0.9179,0.00730225,0.00730225,0.00730225
111,15864.5,1.45634,1.08145,0.93125,0.3848,0.28672,0.27704,0.16156,1.4149,1.12483,0.91755,0.0072775,0.0072775,0.0072775
112,16007.8,1.45177,1.07932,0.9295,0.38386,0.28605,0.2777,0.16145,1.41443,1.12508,0.91755,0.00725275,0.00725275,0.00725275
113,16151.5,1.46116,1.08572,0.9318,0.38559,0.28609,0.27884,0.16224,1.41444,1.12461,0.91764,0.007228,0.007228,0.007228
114,16295.1,1.4525,1.07869,0.9296,0.38781,0.28326,0.27935,0.16271,1.41219,1.12202,0.91701,0.00720325,0.00720325,0.00720325
115,16438.5,1.45172,1.07321,0.92924,0.39019,0.28452,0.28077,0.16361,1.41134,1.12146,0.91617,0.0071785,0.0071785,0.0071785
116,16581.9,1.44973,1.07075,0.92786,0.38801,0.28633,0.28064,0.16335,1.41025,1.12043,0.91579,0.00715375,0.00715375,0.00715375
117,16724.7,1.45055,1.07694,0.93111,0.39434,0.28388,0.28095,0.16365,1.4095,1.12,0.91596,0.007129,0.007129,0.007129
118,16868,1.452,1.07961,0.93034,0.39117,0.28611,0.2812,0.16366,1.41035,1.12182,0.91597,0.00710425,0.00710425,0.00710425
119,17011.7,1.45106,1.07467,0.92836,0.39033,0.28707,0.28094,0.1637,1.40956,1.11942,0.91557,0.0070795,0.0070795,0.0070795
120,17155.3,1.44425,1.06506,0.92786,0.39036,0.28768,0.28041,0.16383,1.40828,1.11971,0.91542,0.00705475,0.00705475,0.00705475
121,17299,1.44701,1.06806,0.9281,0.38995,0.28848,0.28107,0.16444,1.40679,1.11857,0.91542,0.00703,0.00703,0.00703
122,17442.8,1.44574,1.06755,0.92852,0.38956,0.28937,0.28064,0.16441,1.40634,1.11832,0.91517,0.00700525,0.00700525,0.00700525
123,17586,1.44603,1.069,0.92823,0.39165,0.28924,0.28005,0.16431,1.40716,1.12023,0.91514,0.0069805,0.0069805,0.0069805
124,17729.6,1.44014,1.06259,0.9252,0.39234,0.28852,0.28127,0.1646,1.40725,1.11906,0.91522,0.00695575,0.00695575,0.00695575
125,17873.2,1.44194,1.06221,0.92687,0.39245,0.2899,0.28193,0.16477,1.40718,1.11809,0.91512,0.006931,0.006931,0.006931
126,18016.9,1.44191,1.06407,0.92705,0.39406,0.28857,0.28156,0.16442,1.4062,1.11798,0.91488,0.00690625,0.00690625,0.00690625
127,18160.2,1.44625,1.06457,0.92675,0.39507,0.28828,0.28203,0.16495,1.406,1.11674,0.91476,0.0068815,0.0068815,0.0068815
128,18304.4,1.43392,1.05296,0.92474,0.39419,0.28713,0.2816,0.16448,1.40517,1.11722,0.91453,0.00685675,0.00685675,0.00685675
129,18447.2,1.44509,1.06351,0.92773,0.39152,0.28748,0.28186,0.16465,1.40452,1.11757,0.91432,0.006832,0.006832,0.006832
130,18591.2,1.43698,1.05502,0.92575,0.39752,0.28537,0.28158,0.16487,1.4035,1.11636,0.91419,0.00680725,0.00680725,0.00680725
131,18735.1,1.44413,1.06122,0.92534,0.39408,0.2843,0.28165,0.16492,1.40354,1.11596,0.91401,0.0067825,0.0067825,0.0067825
132,18879.1,1.44279,1.05634,0.92715,0.39534,0.28576,0.2815,0.16488,1.40344,1.11458,0.91427,0.00675775,0.00675775,0.00675775
133,19022.8,1.43238,1.05062,0.92595,0.39295,0.2865,0.28187,0.1649,1.40414,1.11385,0.91419,0.006733,0.006733,0.006733
134,19166.9,1.44027,1.0543,0.92499,0.39142,0.2878,0.28197,0.16521,1.40433,1.11289,0.91432,0.00670825,0.00670825,0.00670825
135,19310.7,1.43522,1.05671,0.92611,0.3911,0.28971,0.28219,0.165,1.40401,1.11189,0.91409,0.0066835,0.0066835,0.0066835
136,19453.9,1.435,1.05466,0.92605,0.39209,0.28976,0.28296,0.16563,1.40379,1.11175,0.91411,0.00665875,0.00665875,0.00665875
137,19597.1,1.43172,1.04774,0.92582,0.39052,0.29003,0.2838,0.16593,1.40355,1.1105,0.91398,0.006634,0.006634,0.006634
138,19739.9,1.43236,1.04437,0.92499,0.38986,0.28975,0.28373,0.16565,1.40329,1.11026,0.91399,0.00660925,0.00660925,0.00660925
139,19882.5,1.43551,1.05209,0.92685,0.39179,0.28879,0.28351,0.16589,1.40317,1.11069,0.91387,0.0065845,0.0065845,0.0065845
140,20026.1,1.43091,1.05187,0.92534,0.38765,0.29129,0.28352,0.1659,1.40331,1.11045,0.91388,0.00655975,0.00655975,0.00655975
141,20169.9,1.43042,1.04509,0.92396,0.38937,0.29207,0.28407,0.16618,1.40268,1.10997,0.91384,0.006535,0.006535,0.006535
142,20313.3,1.4288,1.04664,0.92315,0.3921,0.29204,0.28478,0.16659,1.40213,1.1085,0.91372,0.00651025,0.00651025,0.00651025
143,20456.8,1.42301,1.04324,0.92338,0.38875,0.29295,0.28503,0.16675,1.40217,1.10838,0.91378,0.0064855,0.0064855,0.0064855
144,20600.4,1.42322,1.04099,0.9232,0.39024,0.29352,0.28539,0.16687,1.40131,1.10742,0.91362,0.00646075,0.00646075,0.00646075
145,20743.3,1.42961,1.0432,0.92496,0.38947,0.29377,0.28543,0.16703,1.40081,1.10648,0.91346,0.006436,0.006436,0.006436
146,20886.4,1.41895,1.04085,0.9232,0.38898,0.29333,0.28593,0.16715,1.40033,1.10646,0.91321,0.00641125,0.00641125,0.00641125
147,21029.8,1.42451,1.04152,0.92314,0.38773,0.29448,0.28588,0.16731,1.39943,1.10535,0.91297,0.0063865,0.0063865,0.0063865
148,21173.3,1.42148,1.0352,0.92213,0.38691,0.29529,0.28638,0.16752,1.39867,1.10488,0.9128,0.00636175,0.00636175,0.00636175
149,21316.6,1.42582,1.03823,0.9233,0.3876,0.29459,0.28654,0.16763,1.39847,1.10517,0.91277,0.006337,0.006337,0.006337
